"","plan_id","plan_name_hgarb","fye","vd","pmd","cmd","gasb_retirees","gasb_inactive_vest","gasb_inactive_nonvest","gasb_active","gasb_tot_members","seir_arr","seir_muni_pmd","seir_muni_cmd","seir_deplete","seir_pmd","seir_cmd","tpl","fnp","npl","funded_ratio_gasb68","gasb_payroll","pe_total","gasb_outflow","gasb_inflow","adec_pct_25","adec_paid_pct","adec_amt_from_gasb","adec_paid_amt_from_gasb","adec_missed_from_gasb","adec_pct_30","pe_service_cost","pe_interest_tpl","pe_current_changes","pe_expensed_difference_experience","pe_expensed_current_assumption","pe_employee_contribution","pe_projected_earnings","pe_expensed_difference_earnings","pe_admin_ex","pe_outflow","pe_inflow","pe_other","pe_total_calc","sensitivity_rate_100bp_down","sensitivity_rate_actual","sensitivity_rate_100bp_up","sensitivity_dollar_100bp_down","sensitivity_dollar_actual","sensitivity_dollar_100bp_up","service_life","apx_a_start_balance_51","apx_a_service_cost","apx_a_interest","apx_a_benefit_changes","apx_a_experience_diff","apx_a_assumption_changes","apx_a_employer_contribution","apx_a_employee_contribution","apx_a_invest_income","apx_a_benefit_payment","apx_a_refunds","apx_a_benefits_refunds","apx_a_admin_ex","apx_a_other_changes","apx_a_desc","apx_a_start_balance_66","apx_a_current_balance","cont_rate_fy","actuarial_firm","nc_total","nc_er","nc_ee","amo_total_amt","amo_total","amo_er","amo_ee","tot_total_amt","ee_total_amt","statutory_amt_er","statutory_pct_er","hc_er","hc_ee","er_total","ee_total","multiplier_basis","multiplier_min","multiplier_max","multiplier_text","cola","cola_benefit_type","actual_cola","min_cola","cola_benefit_max_pct","drop_current","drop_new_hire","soc_sec","health_care_funded_by_plan","db_hybrid","option_supp_dc","option_primary_dc","assum_inflation","assum_interest","assum_payroll_growth","assum_salary_growth","assum_termination_rate","assum_retirement_rate","assum_mortality_table","assum_mortality_table_year","assum_mortality_projecton_scale","assum_mortality_table_set_back","assum_mortality_table_set_forward","amo_method","amo_years","cost_method_valuation","assum_discount_rate","assum_variable_dr","assum_return_rate","smoothing","actuarial_return_from_valuation","market_return_from_valuation","admin_expense_pct","opeb_val","ava_from_valuation","aal_from_valuation","ual_from_valuation","funded_ratio_old_from_valuation","payroll_from_valuation","investment_experience","age_of_retirement_experience","disability_claim_experience_active","disability_claim_experience_inactive","disability_claim_experience_retired","disability_claim_experience_total","mortality_rate_experience_active","mortality_rate_experience_inactive","mortality_rate_experience_retired","mortality_rate_experience_total","survivor_claim_experience_active","survivor_claim_experience_inactive","survivor_claim_experience_retired","survivor_claim_experience_total","withdrawal_experience","salary_experience","payroll_experience","new_entrant_experience","rehire_experiennce","other_actuarial_experience","interest_smoothing","non_investment_actuarial_experience","nc_prior_year","actuarial_experience","benefit_changes","cola_gain_loss","pbi_gain_loss","legislative_changes","changes_to_methods_assumptions","interest_on_debt","other_interest","contribution_deficiency","opeb_cafr","arc","arc_paid","arc_missed","cost_method_funding","arc_pct","adec_amt_from_acfr","adec_paid_amt_from_acfr","adec_missed_from_acfr","adec_pct","ava_from_acfr","aal_from_acfr","ual_from_acfr","funded_ratio_old_from_acfr","payroll_from_acfr","adec_pct_reason","arcpct_payroll","mva","funded_ratio_mva","actuarial_return_from_acfr","market_return_from_acfr","gain_loss_tot","outflows_benefits","outflows_refunds","outflows_admin","outflows_other","outflows_total","short_hand_ppd","PlanFullName"
"1",890,"Massachusetts - Port Authority Employees Retirement System",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6015347,6015347,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"1.5%-2.5% per year of service (group 1 and 4); 2%-2.5% per year of service (group 2)","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","0.08",NA,"5.5E-2","CAFR Pg.no.61","CAFR Pg.no.61","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","0.08",NA,"0.08","4 Years",NA,NA,NA,NA,285609000,285209000,-4e+05,"1.0009999999999999","65403000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","0","0","0","Frozen Entry Age",NA,"NA","NA","NA","NA","285609000","285209000","-400000","1.0009999999999999","65403000","NA","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",890,"Massachusetts - Port Authority Employees Retirement System",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5754522,5754522,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","0.08",NA,"5.5E-2","CAFR Pg.no.67","CAFR Pg.no.67","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","0.08",NA,"0.08","4 Years",NA,NA,NA,NA,293120000,294457000,1337000,"0.995","63604000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","0","0","0","Frozen Entry Age",NA,"NA","NA","NA","NA","293120000","294457000","1337000","0.995","63604000","NA","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",890,"Massachusetts - Port Authority Employees Retirement System",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7734597,5892444,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.66","CAFR Pg.no.66","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","4 Years",NA,NA,NA,NA,275618000,261594000,-14024000,"1.054","64945000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","1842000","1842000","0","Frozen Entry Age","1","NA","NA","NA","NA","275618000","261594000","-14024000","1.054","64945000","NA","2.836246054353684E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",890,"Massachusetts - Port Authority Employees Retirement System",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8462595,6312709,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.76","CAFR Pg.no.76","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","4 Years",NA,NA,NA,NA,293743000,282683000,-11060000,"1.0389999999999999","64522000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2150000","2150000","0","Frozen Entry Age","1","NA","NA","NA","NA","293743000","282683000","-11060000","1.0389999999999999","64522000","NA","3.3321967700939217E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",890,"Massachusetts - Port Authority Employees Retirement System",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10735317,7005825,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.77","CAFR Pg.no.77","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","4 Years",NA,NA,NA,NA,304427000,293550000,-10877000,"1.0369999999999999","71030000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","3729000","3729000","0","Frozen Entry Age","1","NA","NA","NA","NA","304427000","293550000","-10877000","1.0369999999999999","71030000","NA","5.2498944108123329E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",890,"Massachusetts - Port Authority Employees Retirement System",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10300000,7200000,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.59","CAFR Pg.no.59","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","4 Years",NA,NA,NA,NA,327714000,317033000,-10681000,"1.034","73514000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","3149000","3149000","0","Frozen Entry Age","1","NA","NA","NA","NA","327714000","317033000","-10681000","1.034","73514000","NA","4.2835378295290695E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",890,"Massachusetts - Port Authority Employees Retirement System",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8600000,7600000,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.63","CAFR Pg.no.63","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","4 Years",NA,NA,NA,NA,368345560,357507095,-10838465,"1.03","76834550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","1006000","1006000","0","Frozen Entry Age","1","NA","NA","NA","NA","368346000","357507000","-10839000","1.03","76835000","NA","1.3092991475239148E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",890,"Massachusetts - Port Authority Employees Retirement System",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500000,8100000,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"0.05","CAFR Pg.no.64","CAFR Pg.no.64","RP- 2000",NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","5 Years",NA,NA,NA,NA,396929832,387223231,-9706601,"1.0249999999999999","81119712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","401000","401000","0","Frozen Entry Age","1","NA","NA","NA","NA","396930000","387223000","-9707000","1.0249999999999999","81120000","NA","4.9432938856015778E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",890,"Massachusetts - Port Authority Employees Retirement System",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5%-9%","Range",NA,NA,"0.1%-2.5% per year of service times Highest 3 year average salary","COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","0.08",NA,"4.7500000000000001E-2",NA,NA,NA,NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","0.08",NA,"0.08","5 Years",NA,NA,NA,NA,342952767,327828633,-15124134,"1.046","85943871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","7621000","7621000","0","Frozen Entry Age","1","NA","NA","NA","NA","342953000","327829000","-15124000","1.046","85944000","NA","8.8674020292283343E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",890,"Massachusetts - Port Authority Employees Retirement System",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.13900000000000001",NA,NA,NA,NA,NA,NA,NA,8046285,NA,NA,NA,NA,NA,"5%-9%",NA,NA,NA,NA,"COLA","Percentage",NA,NA,"3% per annum compounded annually on the first 12,000 of pension benefits",NA,NA,NA,NA,NA,NA,NA,"0.03","7.7499999999999999E-2",NA,"4.7500000000000001E-2",NA,NA,NA,NA,NA,NA,NA,"Level amounts, closed","20 years","Frozen Entry Age","7.7499999999999999E-2",NA,"7.7499999999999999E-2","5 Years",NA,NA,NA,NA,410469122,407856780,-2612342,"1.006","86438149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","4924000","4924000","0","Frozen Entry Age","1","NA","NA","NA","NA","410469000","407857000","-2612000","1.006","86438000","NA","5.6965686387931237E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
