"","full_name","fye","opeb_cafr","arc","arc_paid","arc_missed","cost_method_funding","arc_pct","adec_amt_from_acfr","adec_paid_amt_from_acfr","adec_missed_from_acfr","adec_pct","ava_from_acfr","aal_from_acfr","ual_from_acfr","funded_ratio_old_from_acfr","payroll_from_acfr","adec_pct_reason","arcpct_payroll","mva","funded_ratio_mva","actuarial_return_from_acfr","market_return_from_acfr","gain_loss_tot","outflows_benefits","outflows_refunds","outflows_admin","outflows_other","outflows_total"
"1","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2001,NA,"375600000","375600000","0",NA,"1","NA","NA","NA","NA","7638900000","12105400000","4466500000","0.63100000000000001","2784500000","NA","0.13488956724726162",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2002,NA,"415500000","415500000","0","PUC","1","NA","NA","NA","NA","7893700000","12806100000","4912400000","0.61599999999999999","2852100000","NA","0.14568212895761018",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2003,NA,"421500000","421500000","0",NA,"1","NA","NA","NA","NA","8058600000","14223800000","6165200000","0.56699999999999995","2654300000","NA","0.15879893003805146",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"4","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2004,NA,"470300000","470300000","0","PUC","1","NA","NA","NA","NA","8238299999.999999","15128500000","6890200000","0.54500000000000004","2816700000","NA","0.1669684382433344",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"5","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2005,NA,"518799999.99999994","518799999.99999994","0",NA,"1","NA","NA","NA","NA","8517700000.000001","15987500000","7469800000","0.53300000000000003","2980100000","NA","0.17408811784839434",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2006,"Yes","623100000","623100000","0","PUC","1","NA","NA","NA","NA","8951400000","16830300000","7878900000","0.53200000000000003","3107900000","NA","0.20048907622510376","8765151000",0.520795885991337,NA,NA,NA,918914000,NA,"431000","0",919345000
"7","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2007,"Yes","663900000","663900000","0","PUC","1","NA","NA","NA","NA","9585000000","17888100000","8303100000","0.53600000000000003","3310400000","NA","0.20054978250362493","10043391000",0.561456554916397,NA,NA,NA,958115000,NA,"510000","29000",958654000
"8","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2008,"Yes","716900000","660981800","55918200","PUC","0.92200000000000004","NA","NA","NA","NA","9990200000","19243400000","9253200000","0.51900000000000002","3497400000","NA","0.2049808429118774","9331897000",0.484940135319122,NA,NA,NA,1014096000,NA,"558000","0",1014654000
"9","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2009,"Yes","753700000","699433600","54266400","PUC","0.92800000000000005","NA","NA","NA","NA","0","0","0","0","0","NA",NA,"7322780000",NA,NA,NA,NA,1070474000,NA,"846000","0",1071320000
"10","CONNECTICUT STATE EMPLOYEES’ RETIREMENT SYSTEM",2010,"Yes","897400000","720612200","176787800","PUC","0.80300000000000005","NA","NA","NA","NA","9349600000","21054200000","11704600000","0.44400000000000001","3295700000","NA","0.2722942015353339","7791342000",0.37006117544243,NA,NA,NA,1272121000,NA,"417000","0",1272538000
