"","full_name","fye","opeb_cafr","arc","arc_paid","arc_missed","cost_method_funding","arc_pct","adec_amt_from_acfr","adec_paid_amt_from_acfr","adec_missed_from_acfr","adec_pct","ava_from_acfr","aal_from_acfr","ual_from_acfr","funded_ratio_old_from_acfr","payroll_from_acfr","adec_pct_reason","arcpct_payroll","mva","funded_ratio_mva","actuarial_return_from_acfr","market_return_from_acfr","gain_loss_tot","outflows_benefits","outflows_refunds","outflows_admin","outflows_other","outflows_total"
"1","Connecticut Teachers Retirement System",2001,NA,"252500000","214625000","37875000",NA,"0.85","NA","NA","NA","NA","0","0","0","0","0","NA",NA,NA,NA,NA,NA,NA,-683083919,-7590611,"0","0",-690674530
"2","Connecticut Teachers Retirement System",2002,NA,"210700000","204589700","6110300","Entry Age","0.97099999999999997","NA","NA","NA","NA","10387300000","13679900000","3292600000","0.75900000000000001","2698300000","NA","7.808620242374828E-2",NA,0,NA,NA,NA,-747349673,-7305804,"0","0",-754655477
"3","Connecticut Teachers Retirement System",2003,NA,"221200000","179835600","41364400",NA,"0.81299999999999994","NA","NA","NA","NA","0","0","0","0","0","NA",NA,NA,NA,NA,NA,NA,-818016791,0,"0","0",-818016791
"4","Connecticut Teachers Retirement System",2004,NA,"270500000","185292500","85207500","Entry Age","0.68500000000000005","NA","NA","NA","NA","9846700000","15070500000","5223800000","0.65300000000000002","2930800000","NA","9.229561894363314E-2",NA,0,NA,NA,1929750471,-883170773,0,"0","0",-883170773
"5","Connecticut Teachers Retirement System",2005,NA,"281400000","185161199.99999997","96238800.00000003",NA,"0.65799999999999992","NA","NA","NA","NA","0","0","0","0","0","NA",NA,NA,NA,NA,NA,NA,-972618167,0,"0","0",-972618167
"6","Connecticut Teachers Retirement System",2006,"Yes","396200000","396200000","0","Entry age","1","NA","NA","NA","NA","10190300000","17112800000","6922500000","0.59499999999999997","3137700000","NA","0.12627083532523822","12202652000",0.713071618905147,NA,NA,1698655274,1060956000,0,"0","0",1060956000
"7","Connecticut Teachers Retirement System",2007,"Yes","416000000","411840000","4160000","Entry age","0.99","NA","NA","NA","NA","0","0","0","0","0","NA",NA,"13790810000",NA,NA,NA,NA,1165656000,0,"0","3634000",1169290000
"8","Connecticut Teachers Retirement System",2008,"Yes","518600000","2518840200","-2000240200","Entry age","4.8570000000000002","NA","NA","NA","NA","15271000000","21801000000","6530000000","0.7","3399300000","NA","0.15256082134557114","14554461000",0.667605201596257,NA,NA,-392446687,1283742000,0,"0","0",1283742000
"9","Connecticut Teachers Retirement System",2009,"Yes","539300000","539300000","0","Entry age","1","NA","NA","NA","NA","0","0","0","0","0","NA",NA,"11410680000",NA,NA,NA,1351362000,1396098000,0,"0","0",1396098000
"10","Connecticut Teachers Retirement System",2010,"Yes","559200000","559200000","0","Entry age","1","NA","NA","NA","NA","14430200000","23495900000","9065700000","0.61399999999999999","3646000000","NA","0.15337356006582556","12284330000",0.522828663724309,NA,NA,1184359000,1428516000,0,"0","126000",1428642000
"11","Connecticut Teachers Retirement System",2011,"Yes","581600000","581600000","0","Entry age","1","NA","NA","NA","NA","0","0","0","0","0","NA",NA,"14152237000",NA,NA,NA,753352000,1485398000,0,"0","0",1485398000
"12","Connecticut Teachers Retirement System",2012,"Yes","757200000","757200000","0","Entry age","1","NA","NA","NA","NA","13734800000","24862200000","11127400000","0.55200000000000005","3652500000","NA","0.2073100616016427","13482136000",0.542274456805914,NA,NA,1308316000,1545867000,0,"0","2933000",1548800000
