"plan_id","plan_name","ppd_id"
1,"Alabama Employees' Retirement System (ERS)",1
2,"Alabama Teachers' Retirement System (TRS)",2
3,"Alabama Judicial Retirement Fund (JRF)",NULL
4,"Alabama Peace Officers Annuity Benefit Fund",NULL
5,"Alabama Port Authority Hourly Pension Plan",NULL
6,"Alabama Port Authority Terminal Railway Plan",NULL
7,"Alabama Clerks & Registrars Supernumerary Fund",NULL
8,"Jefferson County General Retirement System",NULL
9,"Anniston Police and Firemen Retirement Fund",NULL
10,"Birmingham Retirement & Relief System",171
11,"Birmingham Retirement System (Health Department)",NULL
12,"Birmingham Unclassified Employees Pension",NULL
13,"Birmingham Limited Police Retirement System",NULL
14,"Birmingham Limited Fire Retirement System",NULL
15,"Birmingham Police Pension & Relief Fund",NULL
16,"Florence Employees Retirement Plan",NULL
17,"Mobile Police & Fire Retirement Plan",NULL
18,"Mobile Transit Workers Pension Plan",NULL
19,"Montgomery Employees Retirement System",NULL
20,"Tuscaloosa Fireman and Policemens Pension and Relief Plan",NULL
21,"Tuscaloosa Police & Fire Supplemental Retirement Plan",NULL
22,"Southeast Alabama Gas District Pension Plan",NULL
23,"Birmingham-Jefferson Transit Authority Pension",NULL
24,"Alaska Teachers Retirement System",4
25,"Alaska Public Employees Retirement System",3
26,"Alaska National Guard and Alaska Naval Militia Retirement System",NULL
27,"Alaska Judicial Retirement System",NULL
28,"South Peninsula Hospital Employees Pension Plan",NULL
29,"Anchorage Police and Firemen Retirement Plan",184
30,"Arizona Public Safety Personnel Retirement System",5
31,"Arizona State Retirement System",6
32,"Arizona Elected Officials Retirement Plan",NULL
33,"Arizona Corrections Officers Retirement Plan",127
34,"Benson Volunteer Fire Department Relief & Pension",NULL
35,"Willcox Fire Department Relief & Pension",NULL
36,"Page Fire Department Relief & Pension",NULL
37,"Payson Fire Department Relief & Pension",NULL
38,"Avondale Fire Department Relief & Pension",NULL
39,"Buckeye Fire Department Relief & Pension",NULL
40,"Chandler Fire Department Relief & Pension",NULL
41,"Gilbert Fire Department Relief & Pension",NULL
42,"Goodyear Fire Department Relief & Pension",NULL
43,"Peoria Fire Department Relief & Pension",NULL
44,"Phoenix Employees Retirement System",94
45,"Wickenburg Fire Department Relief & Pension",NULL
46,"Carefree Fire Department Relief & Pension",NULL
47,"Fountain Hills Fire District Relief & Pension",NULL
48,"Surprise Fire Dept Relief & Pension",NULL
49,"Gila Bend Fire District Relief & Pension",NULL
50,"Kingman Fire Department Relief & Pension",NULL
51,"Holbrook Volunteer Fire Department Relief & Pension",NULL
52,"Tucson, AZ Supplemental Retirement System",176
53,"Casa Grande Fire Department Relief & Pension",NULL
54,"Nogales Volunteer Fire Department Relief & Pension",NULL
55,"Patagonia Fire Department Relief & Pension",NULL
56,"Jerome Volunteer Fire Department Relief & Pension",NULL
57,"Sedona Fire Department Relief & Pension",NULL
58,"Cottonwood Fire Department Relief & Pension",NULL
59,"Parker Volunteer Fire District Relief & Pension",NULL
60,"Greer Fire District Relief & Pension",NULL
61,"Puerco Valley Fire District Relief & Pension",NULL
62,"Concho Volunteer Fire District Relief & Pension",NULL
63,"Fry Fire District Relief & Pension",NULL
64,"Christopher Creek/Kohl's Fire District Relief & Pension",NULL
65,"Pleasant Valley Fire District Relief & Pension",NULL
66,"Canyon Fire District Relief & Pension",NULL
67,"Tri-City Fire District Relief & Pension",NULL
68,"Whispering Pines Fire District Relief & Pension",NULL
69,"Salt River Project Agricultural Improvement and Power District Employees' Retirement Plan",NULL
