"id","name","datatype","line_item_code","display_order","attribute_column_name","multiplier","weight","plan_attribute_master_id","data_source_id","attribute_category_id","attribute_type","calculated_rule","attributes_for_master","status_calculated"
"360","Fiscal Year","varchar","fy",207,"fy",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"10852","GASB 68 Valuation File","varchar","gasb_68_valuation_file",9806,"gasb_68_valuation_file",NULL,"0",NULL,"3","362","static","",NULL,NULL
"10850","CAFR File","varchar","cafr_file",9902,"cafr_file",NULL,"0",NULL,"3","362","static","",NULL,NULL
"10861","Valuation Date","shortdate","vd",700,"vd","1",NULL,NULL,"3","401","static",NULL,NULL,NULL
"10862","Prior Measurment Date","shortdate","pmd",701,"pmd","1",NULL,NULL,"3","401","static",NULL,NULL,NULL
"10863","Measurment Date (MD)","shortdate","cmd",702,"cmd","1",NULL,NULL,"3","401","static",NULL,NULL,NULL
"10864","Membership Data: Retirees and Beneficiaries","int","gasb_retirees",703,"gasb_retirees","1",NULL,NULL,"3","402","static",NULL,NULL,NULL
"10865","Membership Data: Inactive Vested","int","gasb_inactivevest",704,"gasb_inactivevest","1",NULL,NULL,"3","402","static",NULL,NULL,NULL
"10866","Membership Data: Inactive Nonvested","int","gasb_inactivenonvest",705,"gasb_inactivenonvest","1",NULL,NULL,"3","402","static",NULL,NULL,NULL
"10867","Membership Data: Active","int","gasb_active",706,"gasb_active","1",NULL,NULL,"3","402","static",NULL,NULL,NULL
"10868","Membership Data: Total","int","gasb_totmembers",707,"gasb_totmembers","1",NULL,NULL,"3","402","static",NULL,NULL,NULL
"10859","Test difference beetween total","bigint","123456789",NULL,NULL,"1000","0",NULL,"3",NULL,"calculated","#611##-##587#",NULL,"done"
"527","Other Contributions","real","contrib_other",374,"contrib_other","1000","1","-1","2","78","static",NULL,NULL,NULL
"528","Total Contributions","real","contrib_tot",375,"contrib_tot","1000","1","-1","2","78","static",NULL,NULL,NULL
"478","Were Actuarial Assets Estimated By CRR ?","real","actassets_est",325,"actassets_est","1","0","-1","2","137","static",NULL,NULL,NULL
"479","Were Actuarial Liabilities Estimated By CRR ?","real","actliabilities_est",326,"actliabilities_est","1","0","-1","2","141","static",NULL,NULL,NULL
"475","aec","real","aec",322,"aec","1000","0","-1","2","78","static",NULL,NULL,NULL
"515","Percent of Assets Invested In Alternatives","real","alternatives",362,"alternatives","1","0","-1","2","137","static",NULL,NULL,NULL
"519","Securities Management Lending Fees","varchar","expense_seclendmgmtfees",366,"expense_seclendmgmtfees",NULL,"0","-1","2","148","static",NULL,NULL,NULL
"518","Securities Lending - Fair Value Change","varchar","fairvaluechange_seclend",365,"fairvaluechange_seclend",NULL,"0","-1","2","137","static",NULL,NULL,NULL
"520","Securities Lending - Fair Value Change (UG)","varchar","fairvaluechange_seclendug",367,"fairvaluechange_seclendug",NULL,"0","-1","2","137","static",NULL,NULL,NULL
"509","Percent of Assets Invested in International Equities","real","equities_international",356,"equities_international","1","0","-1","2","137","static",NULL,NULL,NULL
"507","Percent of Assets Invested in Equities","real","equities_tot",354,"equities_tot","1","0","-1","2","137","static",NULL,NULL,NULL
"510","Percent of Assets Invested In Bonds","real","fixedincome_tot",357,"fixedincome_tot","1","0","-1","2","137","static",NULL,NULL,NULL
"511","Percent of Assets Invested In Us Bonds","real","fixedincome_domestic",358,"fixedincome_domestic","1","0","-1","2","137","static",NULL,NULL,NULL
"512","Percent of Assets Invested In Foreign Bonds","real","fixedincome_international",359,"fixedincome_international","1","0","-1","2","137","static",NULL,NULL,NULL
"422","Actuarial Valuation Date For GASB Assumptions","date","Actuarial Valuation Date (GASB Assumptions)",269,"Actuarial Valuation Date (GASB Assumptions)",NULL,"0","-1","2","354","static","",NULL,NULL
"498","Long-Term Investment Return","varchar","investmentreturn_longterm",345,"investmentreturn_longterm",NULL,"0","-1","2","137","static",NULL,NULL,NULL
"499","Starting Year for Long-Term Investment Return Calculation","varchar","investmentreturn_longtermstartye",346,"investmentreturn_longtermstartye",NULL,"0","-1","2","137","static",NULL,NULL,NULL
"609","DROP Members","real","dropmembers",456,"dropmembers","1","0","-1","2","143","static",NULL,NULL,NULL
"554","Deductions - Survivor Benefits","real","expense_survivorbenefits",401,"expense_survivorbenefits","1000","0","-1","2","148","static",NULL,NULL,NULL
"626","Actuarial Assets","real","actassets_ava",473,"actassets_ava","1000","0","-1","2","137","static",NULL,NULL,NULL
"546","Securities Lending Rebates","real","income_securitieslendingrebate",393,"income_securitieslendingrebate","1000","0","-1","2","83","static",NULL,NULL,NULL
"549","Deductions - Total Benefit Payments","real","expense_totbenefits",396,"expense_totbenefits","1000","0","-1","2","148","static",NULL,NULL,NULL
"628","Actuarial Liabilities Under Projected Unit Credit","real","actliabilities_puc",475,"actliabilities_puc","1000","0","-1","2","141","static",NULL,NULL,NULL
"627","Actuarial Liabilities Under Entry Age Normal","real","actliabilities_ean",474,"actliabilities_ean","1000","0","-1","2","141","static",NULL,NULL,NULL
"404","Actuarial Valuation Report Date","date","actrptdate",251,"actrptdate",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"405","Fiscal Year End Date","date","fye",252,"fye",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"458","Data Source for GASB Schedules","varchar","source_gasbschedules",305,"source_gasbschedules",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"484","Data Source for Investment Return Data","varchar","source_investmentreturn",331,"source_investmentreturn",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"582","Actuarial Valuation Date for Actuarial Costs","varchar","actvaldate_actuarialcosts",429,"actvaldate_actuarialcosts",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"584","Data Source for Membership Data","varchar","source_membership",431,"source_membership",NULL,"0","-1","2","143","static",NULL,NULL,NULL
"585","Total Number Of Disability Retirees","varchar","beneficiaries_disabilityretirees",432,"beneficiaries_disabilityretirees",NULL,"0","-1","2","143","static",NULL,NULL,NULL
"586","Total Number Of Dependent Survivor Beneficiaries","varchar","beneficiaries_dependentsurvivors",433,"beneficiaries_dependentsurvivors",NULL,"0","-1","2","143","static",NULL,NULL,NULL
"423","Source Reference for Funding and Methods","varchar","source_fundingandmethods",270,"source_fundingandmethods",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"424","Asset Valuation Method for Plan Reporting","varchar","assetvalmeth",271,"assetvalmeth",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"425","Gain/Loss Values to be Included in Smoothed Asset Calculation","varchar","phasein",272,"phasein",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"426","Asset Valuation Method Note","varchar","assetvalmeth_note",273,"assetvalmeth_note",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"363","Plan Full Name","varchar","planfullname",210,"planfullname",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"608","Total Number Of Other Beneficiaries","real","beneficiaries_other",455,"beneficiaries_other","1","0","-1","2","143","static",NULL,NULL,NULL
"559","Deductions - Administrative Expense","real","expense_adminexpenses",406,"expense_adminexpenses","1000","0","-1","2","148","static",NULL,NULL,NULL
"625","Market Assets Reported In Actuarial Valuation","real","mktassets_actrpt",472,"mktassets_actrpt","1000","0","-1","2","137","static",NULL,NULL,NULL
"610","Other Members","real","othermembers",457,"othermembers","1","0","-1","2","143","static",NULL,NULL,NULL
"611","Total Number Of Members","real","totmembership",458,"totmembership","1","0","-1","2","143","static",NULL,NULL,NULL
"612","Estimated Average Salary Of Actives (Flag)","real","activesalary_avg_est",459,"activesalary_avg_est","1","0","-1","2","143","static",NULL,NULL,NULL
"613","Estimated Average Benefit Of Beneficiaries (Flag)","real","beneficiarybenefit_avg_est",460,"beneficiarybenefit_avg_est","1","0","-1","2","143","static",NULL,NULL,NULL
"454","Total Amortization Period","real","totamortperiod",301,"totamortperiod","1","0","-1","2","354","static",NULL,NULL,NULL
"427","Actuarial Cost Method for Plan Reporting","varchar","actcostmeth",274,"actcostmeth",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"428","Actuarial Cost Method Notes","varchar","actcostmeth_note",275,"actcostmeth_note",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"429","Funding Method for Plan Reporting","varchar","fundingmeth",276,"fundingmeth",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"407","Source Reference for GASB Assumptions","varchar","source_gasbassumptions",254,"source_gasbassumptions",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"408","Actuarial Cost Method for GASB Reporting","varchar","actcostmeth_gasb",255,"actcostmeth_gasb",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"409","Asset Valuation Method for GASB Reporting","varchar","assetvalmeth_gasb",256,"assetvalmeth_gasb",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"410","Amortizaton Method","varchar","fundingmeth_gasb",257,"fundingmeth_gasb",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"412","COLA Code","varchar","cola_code",259,"cola_code",NULL,"0","-1","2","355","static",NULL,NULL,NULL
"406","Data Entry Code","varchar","dataentrycode",253,"dataentrycode",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"411","COLA Provsion Text","varchar","cola_verabatim",258,"cola_verabatim",NULL,"0","-1","2","355","static",NULL,NULL,NULL
"456","Unfunded Liability Year Established","varchar","uaalyearestablished",303,"uaalyearestablished",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"506","Source for Asset Allocation","varchar","source_assetallocation",353,"source_assetallocation",NULL,"0","-1","2","137","static",NULL,NULL,NULL
"483","Actuarial Valuation Date for GASB Schedules","date","actvaldate_gasbschedules",330,"actvaldate_gasbschedules",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"614","Source for Actuarial Liabilities","varchar","source_actliabilities",461,"source_actliabilities",NULL,"0","-1","2","141","static",NULL,NULL,NULL
"430","Funding Method Note","varchar","fundingmeth_note",277,"fundingmeth_note",NULL,"0","-1","2","354","static",NULL,NULL,NULL
"375","Type of Employees Covered","varchar","employeetypecovered",222,"employeetypecovered",NULL,"0","-1","2","143","static",NULL,NULL,NULL
"377","Social Security Coverage Of Plan Members","varchar","socseccovered_verbatim",224,"socseccovered_verbatim",NULL,"0","-1","2","355","static",NULL,NULL,NULL
"517","Data Source for Income Statement","varchar","source_incomestatement",364,"source_incomestatement",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"565","Data Source for Actuarial Costs","varchar","source_actcosts",412,"source_actcosts",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"359","Plan Name","varchar","planname",206,"planname",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"364","Data Source for Plan Basics","varchar","source_planbasics",211,"source_planbasics",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"367","Year Of Inception","varchar","planinceptionyear",214,"planinceptionyear",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"369","Year of Plan Closing","varchar","planyearclosed",216,"planyearclosed",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"371","State Abbreviation","varchar","stateabbrev",218,"stateabbrev",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"372","Full State Name","varchar","statename",219,"statename",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"373","Administrating Jurisdiction","varchar","govtname",220,"govtname",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"378","Cost Structure","varchar","coststructure",225,"coststructure",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"397","Benefits Website","varchar","benefitswebsite",244,"benefitswebsite",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"398","Reporting Date Notes","varchar","reportingdatenotes",245,"reportingdatenotes",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"357","Year","varchar","year",204,"year",NULL,"0","-1","2","356","static",NULL,NULL,NULL
"10853","Experience Study File","varchar","experience_study_file",9808,"experience_study_file",NULL,"0",NULL,"3","362","static","",NULL,NULL
"10851","Actuarial Valuation File","varchar","actuarial_valuation_file",9804,"actuarial_valuation_file",NULL,"0",NULL,"3","362","static","",NULL,NULL
"10869","SEIR: Long-term Expected Rate of Return","percentage4","seir_arr",708,"seir_arr","1",NULL,NULL,"3","403","static",NULL,NULL,NULL
"10870","SEIR: Municipal Bond Index at Prior MD","percentage4","seir_munipmd",709,"seir_munipmd","1",NULL,NULL,"3","403","static",NULL,NULL,NULL
"10871","SEIR: Municipal Bond Index at Current MD","percentage4","seir_municmd",710,"seir_municmd","1",NULL,NULL,"3","403","static",NULL,NULL,NULL
"542","Other Investment Expense","real","expense_otherinvestments",389,"expense_otherinvestments","1000","0","-1","2","148","static",NULL,NULL,NULL
"543","Net Investments - Investment Expense","real","expense_investments",390,"expense_investments","1000","0","-1","2","148","static",NULL,NULL,NULL
"10848","Total Employee Contributions","bigint","tec",NULL,"total_employee_contributions","1",NULL,NULL,"3","78","calculated","#2##+##1#",NULL,"done"
"540","Private Equity Expense","real","expense_privateequity",387,"expense_privateequity","1000","0","-1","2","148","static",NULL,NULL,NULL
"541","Alternatives Expense","real","expense_alternatives",388,"expense_alternatives","1000","0","-1","2","148","static",NULL,NULL,NULL
