"id","priority","master_attribute_id","plan_attribute_id"
"1",100,"1","10996"
"3",300,"1","14004"
"4",400,"1","11301"
"6",200,"2","462"
"7",300,"2","48"
"8",200,"392","582"
"9",200,"394","483"
"10",200,"397","413"
"11",100,"398","11263"
"12",200,"399","414"
"13",200,"274","453"
"14",200,"388","457"
"15",200,"345","583"
"16",200,"36","467"
"17",200,"37","468"
"18",200,"137","521"
"19",200,"140","573"
"20",200,"141","568"
"21",200,"142","578"
"22",200,"145","526"
"23",200,"147","522"
"24",200,"148","523"
"25",200,"149","574"
"26",200,"150","569"
"27",200,"151","579"
"28",300,"152","3"
"29",300,"153","5"
"30",200,"155","575"
"31",200,"156","570"
"32",200,"160","580"
"33",200,"173","566"
"34",300,"220","2"
"35",300,"223","4"
"36",200,"263","527"
"37",200,"265","525"
"38",200,"317","524"
"39",300,"327","7"
"40",300,"328","6"
"41",300,"329","1"
"42",200,"352","528"
"43",200,"357","572"
"44",200,"358","567"
"45",200,"359","577"
"46",200,"375","576"
"47",200,"376","571"
"48",200,"40","370"
"49",300,"89","56"
"50",300,"73","58"
"51",200,"28","402"
"52",200,"29","404"
"53",200,"41","373"
"54",200,"77","397"
"55",200,"84","401"
"56",200,"90","368"
"57",200,"96","403"
"58",200,"98","380"
"59",200,"99","378"
"60",200,"113","406"
"61",200,"114","565"
"62",200,"115","458"
"63",200,"116","517"
"64",200,"117","484"
"65",200,"119","364"
"66",200,"139","399"
"67",200,"154","379"
"68",200,"171","360"
"69",200,"172","405"
"70",200,"174","366"
"71",200,"183","372"
"72",200,"221","382"
"73",200,"247","630"
"74",200,"248","629"
"75",200,"278","355"
"76",200,"281","363"
"77",200,"282","631"
"78",200,"283","359"
"79",200,"284","374"
"80",200,"285","356"
"81",200,"299","358"
"82",200,"307","398"
"83",200,"311","383"
"84",200,"325","371"
"85",200,"330","381"
"86",200,"336","361"
"87",200,"339","400"
"88",200,"385","362"
"89",200,"389","357"
"90",200,"390","367"
"91",200,"391","369"
"92",200,"47","536"
"93",300,"129","10"
"94",200,"129","532"
"95",300,"192","12"
"96",200,"208","533"
"97",300,"209","9"
"98",200,"209","531"
"99",200,"211","537"
