Table Name,Variable Name,Variable Label,Format/Unit of measure,Code
PensionGASBSchedules,ActAssets_est,,"0,1","Estimated (1), Not estimated (0)"
PensionGASBSchedules,ActAssets_GASB,Actuarial Assets,$000s,
PensionGASBSchedules,ActFundedRatio_est,,"0,1","Estimated (1), Not estimated (0)"
PensionGASBSchedules,ActFundedRatio_GASB,Funded Ratio,Percentage point,
PensionGASBSchedules,ActFundedRatio_GASB67,GASB 67 Funded Ratio,Percentage point,
PensionGASBSchedules,ActLiabilities_est,,"0,1","Estimated (1), Not estimated (0)"
PensionGASBSchedules,ActLiabilities_GASB,Actuarial Liabilities,$000s,
PensionGASBSchedules,ActLiabilities_other,Other Liability,$000s,
PensionGASBSchedules,ADEC,,$000s,
PensionGASBSchedules,fy,Fiscal year,yyyy,
PensionGASBSchedules,NetPensionLiability,Net Pension Liability,$000s,
PensionGASBSchedules,NetPosition,Net Position,$000s,
PensionGASBSchedules,payroll,Covered Payroll,$000s,
PensionGASBSchedules,PercentReqContPaid,Percent of Required Contribution Paid,Percentage point,
PensionGASBSchedules,PlanName,Plan name,text,
PensionGASBSchedules,ppd_id,,0000-9999,
PensionGASBSchedules,RequiredContribution,Required Contribution,$000s,"From 2001 to 2013, RequiredContribution equals the ARC. From 2014 forward, RequiredContribution equals the ADEC, the GASB67 version of the ARC."
PensionGASBSchedules,RequiredContribution_est,,"0,1","Estimated (1), Not estimated (0)"
PensionGASBSchedules,TierID,,00-99,"0=All Tiers; 1,2,3...=designated tier"
PensionGASBSchedules,TotalPensionLiability,Total Pension Liability,$000s,
PensionGASBSchedules,UAAL_GASB,UAAL,$000s,
PensionGASBAssumptions,ActCostMethCode_GASB,,"1,2,3,4,5","EAN (1), PUC (2), FIL (3), AGG (4), OTHER (5)"
PensionGASBAssumptions,ActCostMeth_GASB,Cost Method,,
PensionGASBAssumptions,AssetSmoothingPeriod_GASB,Asset Smoothing Period,years,
PensionGASBAssumptions,AssetValMethCode_GASB,Asset Valuation Method,"0,1","Market (1), Smoothed (0)"
PensionGASBAssumptions,AssetValMeth_GASB,,,
PensionGASBAssumptions,BlendedDiscountRate,Blended Discount Rate,Percentage point,
PensionGASBAssumptions,EEGroupID,EEGroupID,00-99,"0=All Employees; 1,2,3...=designated employee group"
PensionGASBAssumptions,FundingMethCode1_GASB,Coded Funding Method 1,"0,1","Level Percent (1), Level dollar (0)"
PensionGASBAssumptions,FundingMethCode2_GASB,Coded Funding Method 2,"1,2,3","Open (1), Fixed (2), Closed (3)"
PensionGASBAssumptions,FundingMeth_GASB,Funding Method,text,
PensionGASBAssumptions,fy,Fiscal year,yyyy,
PensionGASBAssumptions,InflationAssumption_GASB,Assumed Inflation,Percentage point,
PensionGASBAssumptions,InvestmentReturnAssumption_GASB,Assumed Return,Percentage point,
PensionGASBAssumptions,notes_GASBAssumptions,,text,
PensionGASBAssumptions,PlanName,Plan name,text,
PensionGASBAssumptions,ppd_id,,0000-9999,
PensionGASBAssumptions,source_GASBAssumptions,,text,
PensionGASBAssumptions,TierID,,00-99,"0=All Tiers; 1,2,3...=designated tier"
PensionGASBAssumptions,UAALAmortPeriod_GASB,Remaining Amortization Period,,
PensionIncomeStatement,adjustment_MktAssets,Market Value Adjustment,$000s,
PensionIncomeStatement,BegMktAssets_net,Market Assets BOY,$000s,
PensionIncomeStatement,contrib_EE_other,Other Employee Contributions,$000s,
PensionIncomeStatement,contrib_EE_PurchaseService,Purchase of Service,$000s,
PensionIncomeStatement,contrib_EE_regular,Member Contributions,$000s,
PensionIncomeStatement,contrib_ER_other,Other Employer Contributions,$000s,
PensionIncomeStatement,contrib_ER_regular,Regular Employer Contributions,$000s,
PensionIncomeStatement,contrib_ER_state,State Employer Contributions,$000s,
PensionIncomeStatement,contrib_ER_tot,Employer Contributions,$000s,
PensionIncomeStatement,contrib_other,Other Misc. Contributions,$000s,
PensionIncomeStatement,contrib_other_tot,Other Contributions,$000s,
PensionIncomeStatement,contrib_tot,Total Contributions,$000s,
PensionIncomeStatement,EEGroupID,EEGroupID,00-99,"0=All Employees; 1,2,3...=designated employee group"
PensionIncomeStatement,expense_AdminExpenses,Admin. Expenses,$000s,
PensionIncomeStatement,expense_alternatives,Alternatives Expense,$000s,
PensionIncomeStatement,expense_COLABenefits,Total COLA Benefits,$000s,
PensionIncomeStatement,expense_DeathBenefits,Total Death Benefits,$000s,
PensionIncomeStatement,expense_Depreciation,Depreciation,$000s,
PensionIncomeStatement,expense_DisabilityBenefits,Total Disability Benefits,$000s,
PensionIncomeStatement,expense_DROPBenefits,Total DROP Benefits,$000s,
PensionIncomeStatement,expense_investments,General Inv. Expense,$000s,
PensionIncomeStatement,expense_investments_tot,Investment expense,$000s,
PensionIncomeStatement,expense_LumpSumBenefits,Total Lump Sum Benefits,$000s,
PensionIncomeStatement,expense_net,Total Deductions,$000s,
PensionIncomeStatement,expense_OtherBenefits,Other Benefits,$000s,
PensionIncomeStatement,expense_OtherDeductions,Other Misc. Deductions,$000s,
PensionIncomeStatement,expense_OtherInvestments,Other Inv. Expense,$000s,
PensionIncomeStatement,expense_other_tot,Other Deductions,$000s,
PensionIncomeStatement,expense_PrivateEquity,Private Equity Expense,$000s,
PensionIncomeStatement,expense_RealEstate,Real Estate Expense,$000s,
PensionIncomeStatement,expense_refunds,Refunds/Withdrawals,$000s,
PensionIncomeStatement,expense_RetBenefits,Total Retirement Benefits,$000s,
PensionIncomeStatement,expense_SecLendMgmtFees,Securities Lending Fees,$000s,
PensionIncomeStatement,expense_SecuritiesLending,Securities Lending Expenses,$000s,
PensionIncomeStatement,expense_SurvivorBenefits,Total Survivor Benefits,$000s,
PensionIncomeStatement,expense_TotBenefits,Total Benefits,$000s,
PensionIncomeStatement,FairValueChange_investments,Net Increase/(Decrease) in Fair Value of Misc. Investments,$000s,
PensionIncomeStatement,FairValueChange_RealEstate,Net Increase/(Decrease) in Fair Value of Real Estate Investments,$000s,
PensionIncomeStatement,FairValueChange_tot,Change in Fair Value of Investments,$000s,
PensionIncomeStatement,FVChange_SecLend,Securities Lending Apprec.,$000s,
PensionIncomeStatement,FVChange_SecLend_UG,Securities Lending Unrealized Gains,$000s,
PensionIncomeStatement,fy,Fiscal year,yyyy,
PensionIncomeStatement,income_alternatives,Alternatives Income,$000s,
PensionIncomeStatement,income_dividends,Dividend Income,$000s,
PensionIncomeStatement,income_interest,Interest Income,$000s,
PensionIncomeStatement,income_InterestAndDividends,Interest and Dividends,$000s,
PensionIncomeStatement,income_interest_dividends_tot,Interest and Dividends Net Income,$000s,
PensionIncomeStatement,income_international,International Income,$000s,
PensionIncomeStatement,income_net,Total Additions,$000s,
PensionIncomeStatement,income_OtherAdditions,Other Additions,$000s,
PensionIncomeStatement,income_OtherInvestments,Other Inv. Income,$000s,
PensionIncomeStatement,income_PrivateEquity,Privat Equity Income,$000s,
PensionIncomeStatement,income_RealEstate,Real Estate Income,$000s,
PensionIncomeStatement,income_SecuritiesLending,Securities Lending Interest Income,$000s,
PensionIncomeStatement,income_SecuritiesLendingRebate,Securities Lending Rebates,$000s,
PensionIncomeStatement,investments_net,Net Investments,$000s,
PensionIncomeStatement,MktAssets_net,Market Assets EOY,$000s,
PensionIncomeStatement,notes_IncomeStatement,,text,
PensionIncomeStatement,PlanName,Plan name,text,
PensionIncomeStatement,POB_Amount,Pension Obligation Bond Amount,$000s,
PensionIncomeStatement,POB_Flag,Pension Obligation Bond Flag,0-1,"POB Issued (1), POB not issued (0)"
PensionIncomeStatement,ppd_id,,0000-9999,
PensionIncomeStatement,SecLend_tot,Securities Lending,$000s,
PensionIncomeStatement,source_IncomeStatement,,text,
PensionIncomeStatement,TierID,,00-99,"0=All Tiers; 1,2,3...=designated tier"
PensionInvestmentReturn,AvgReturn_10yr,"10-year return, average",Percentage point,
PensionInvestmentReturn,AvgReturn_3yr,"3-year return, average",Percentage point,
PensionInvestmentReturn,AvgReturn_5yr,"5-year return, average",Percentage point,
PensionInvestmentReturn,EEGroupID,EEGroupID,00-99,
PensionInvestmentReturn,fy,Fiscal year,yyyy,
PensionInvestmentReturn,GeoGrowth_est,,Percentage point,
PensionInvestmentReturn,GeoReturn_est,Avg. return since 2001,Percentage point,
PensionInvestmentReturn,GrossReturns,,"0,1","gross returns (0), net returns (1)"
PensionInvestmentReturn,InvestmentConsultantCode,Investment Consultant Code,00-99,"Callan (1), NEPC (2), Wilshire (3), PCA (4), Summit (5), Aon Hewitt (6), Strategic Investment Consultants (7), RVK (8), Watson Wyatt (9), Mercer (10), Meketa (11), Russell (12), Marquette (13), All Others (99)"
PensionInvestmentReturn,InvestmentConsultantName,Investment Consultant Name,text,
PensionInvestmentReturn,InvestmentReturn_10yr,10-yr investment return,Percentage point,
PensionInvestmentReturn,InvestmentReturn_10yr_est,,0-1,"Estimated (1), Not estimated (0)"
PensionInvestmentReturn,InvestmentReturn_12yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_15yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_1yr,1-yr investment return,Percentage point,
PensionInvestmentReturn,InvestmentReturn_1yr_est,,0-1,"Estimated (1), Not estimated (0)"
PensionInvestmentReturn,InvestmentReturn_20yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_25yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_2yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_30yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_3yr,3-yr investment return,Percentage point,
PensionInvestmentReturn,InvestmentReturn_4yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_5yr,5-yr investment return,Percentage point,
PensionInvestmentReturn,InvestmentReturn_5yr_est,,0-1,"Estimated (1), Not estimated (0)"
PensionInvestmentReturn,InvestmentReturn_7yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_8yr,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_LongTerm,,Percentage point,
PensionInvestmentReturn,InvestmentReturn_LTStartYear,,yyyy,
PensionInvestmentReturn,notes_InvestmentReturn,,text,
PensionInvestmentReturn,PlanName,Plan name,text,
PensionInvestmentReturn,ppd_id,,0000-9999,
PensionInvestmentReturn,source_InvestmentReturn,,text,
PensionInvestmentReturn,TierID,,00-99,
PensionActuarialCosts,ActuarialFirm,Actuarial Firm,text,
PensionActuarialCosts,ActuarialFirmCode,Actuarial Firm Code,0-9,"GRS (1), Buck Consultants (2), Cavanaugh Macdonald (3), Segal (4), Milliman (5), Cheiron (6), Internal actuarial services (7), Other firm (8)"
PensionActuarialCosts,ContributionFY,Contribution FY,yyyy,
PensionActuarialCosts,EEGroupID,EEGroupID,00-99,
PensionActuarialCosts,fy,Fiscal year,yyyy,
PensionActuarialCosts,NormCostAmount_EE,,$000s,
PensionActuarialCosts,NormCostAmount_ER,,$000s,
