"","System_Name","Plan_Shorthand_equable"
"1","Alaska Teachers’ Retirement System","Alaska TRS"
"2","Arkansas Teacher Retirement System","Arkansas TRS"
"3","California State Teachers’ Retirement System","CalSTRS"
"4","Colorado Public Employees Retirement Association","Colorado Schools"
"5","Colorado Public Employees Retirement Association","Colorado DPS"
"6","Connecticut State Teachers’ Retirement System","Connecticut STRS"
"7","District of Columbia Retirement Board","D.C. TRP"
"8","Employees’ Retirement System of Rhode Island","Rhode Island ERS-T"
"9","Georgia Teachers Retirement System","Georgia TRS"
"10","Illinois State Teachers' Retirement System","Illinois TRS"
"11","Indiana Public Retirement System","Indiana TRF 1996"
"12","Indiana Public Retirement System","Indiana TRF Pre-96"
"13","Kansas Public Employees' Retirement System","Kansas PERS-T"
"14","Kentucky Teachers' Retirement System","Kentucky TRS"
"15","Louisiana Teachers’ Retirement System","Louisiana TRS"
"16","Massachusetts Teachers’ Retirement System","Massachusetts TRS"
"17","Michigan Public School Employees’ Retirement System","Michigan PSERS"
"18","Michigan Public School Employees’ Retirement System","Michigan PSERS PPP"
"19","Michigan Public School Employees’ Retirement System","Michigan PSERS PPP2"
"20","Minnesota Teachers Retirement Association","Minnesota TRA"
"21","Missouri PSRS/PEERS Combined System","Missouri PSRS"
"22","Montana Teachers' Retirement System","Montana TRS"
"23","Nebraska Public Employees Retirement Systems - School Employees Plan","Nebraska SEP"
"24","New Jersey Teachers’ Pension & Annuity Fund","New Jersey TPAF"
"25","New Mexico Educational Retirement Board","New Mexico ERB"
"26","New York State Teachers’ Retirement System","New York STRS"
"27","North Carolina Total Retirement Plans","North Carolina TSERS"
"28","North Dakota Teachers' Fund for Retirement","North Dakota TFR"
"29","Ohio State Teachers' Retirement System","Ohio STRS"
"30","Oklahoma Teachers' Retirement System","Oklahoma TRS"
"31","Pennsylvania Public School Employees’ Retirement System","Pennsylvania PSERS"
"32","Retirement Systems of Alabama","Alabama TRS"
"33","Tennessee Consolidated Retirement System","Tennessee TLPP"
"34","Tennessee Consolidated Retirement System","Tennessee TRP"
"35","Texas Teachers Retirement System","Texas TRS"
"36","Vermont State Teachers' Retirement System","Vermont STRS"
"37","Virginia Retirement System","Virginia RS-T"
"38","Washington Teachers Retirement System","Washington TRS 1"
"39","Washington Teachers Retirement System","Washington TRS 2/3"
"40","West Virginia Teachers’ Retirement System","West Virginia TRS"
