"","full_name","fye","vd","pmd","cmd","gasb_retirees","gasb_inactive_vest","gasb_inactive_nonvest","gasb_active","gasb_tot_members","seir_arr","seir_muni_pmd","seir_muni_cmd","seir_deplete","seir_pmd","seir_cmd","tpl","fnp","npl","funded_ratio_gasb68","gasb_payroll","pe_total","gasb_outflow","gasb_inflow","adec_pct_25","adec_paid_pct","adec_amt_from_gasb","adec_paid_amt_from_gasb","adec_missed_from_gasb","adec_pct_30","pe_service_cost","pe_interest_tpl","pe_current_changes","pe_expensed_difference_experience","pe_expensed_current_assumption","pe_employee_contribution","pe_projected_earnings","pe_expensed_difference_earnings","pe_admin_ex","pe_outflow","pe_inflow","pe_other","pe_total_calc","sensitivity_rate_100bp_down","sensitivity_rate_actual","sensitivity_rate_100bp_up","sensitivity_dollar_100bp_down","sensitivity_dollar_actual","sensitivity_dollar_100bp_up","service_life","apx_a_start_balance_51","apx_a_service_cost","apx_a_interest","apx_a_benefit_changes","apx_a_experience_diff","apx_a_assumption_changes","apx_a_employer_contribution","apx_a_employee_contribution","apx_a_invest_income","apx_a_benefit_payment","apx_a_refunds","apx_a_benefits_refunds","apx_a_admin_ex","apx_a_other_changes","apx_a_desc","apx_a_start_balance_66","apx_a_current_balance","cont_rate_fy","actuarial_firm","nc_total","nc_er","nc_ee","amo_total_amt","amo_total","amo_er","amo_ee","tot_total_amt","ee_total_amt","statutory_amt_er","statutory_pct_er","hc_er","hc_ee","er_total","ee_total","multiplier_basis","multiplier_min","multiplier_max","multiplier_text","cola","cola_benefit_type","actual_cola","min_cola","cola_benefit_max_pct","drop_current","drop_new_hire","soc_sec","health_care_funded_by_plan","db_hybrid","option_supp_dc","option_primary_dc","assum_inflation","assum_interest","assum_payroll_growth","assum_salary_growth","assum_termination_rate","assum_retirement_rate","assum_mortality_table","assum_mortality_table_year","assum_mortality_projecton_scale","assum_mortality_table_set_back","assum_mortality_table_set_forward","amo_method","amo_years","cost_method_valuation","assum_discount_rate","assum_variable_dr","assum_return_rate","smoothing","actuarial_return_from_valuation","market_return_from_valuation","admin_expense_pct","opeb_val","ava_from_valuation","aal_from_valuation","ual_from_valuation","funded_ratio_old_from_valuation","payroll_from_valuation","investment_experience","age_of_retirement_experience","disability_claim_experience_active","disability_claim_experience_inactive","disability_claim_experience_retired","disability_claim_experience_total","mortality_rate_experience_active","mortality_rate_experience_inactive","mortality_rate_experience_retired","mortality_rate_experience_total","survivor_claim_experience_active","survivor_claim_experience_inactive","survivor_claim_experience_retired","survivor_claim_experience_total","withdrawal_experience","salary_experience","payroll_experience","new_entrant_experience","rehire_experiennce","other_actuarial_experience","interest_smoothing","non_investment_actuarial_experience","nc_prior_year","actuarial_experience","benefit_changes","cola_gain_loss","pbi_gain_loss","legislative_changes","changes_to_methods_assumptions","interest_on_debt","other_interest","contribution_deficiency","opeb_cafr","arc","arc_paid","arc_missed","cost_method_funding","arc_pct","adec_amt_from_acfr","adec_paid_amt_from_acfr","adec_missed_from_acfr","adec_pct","ava_from_acfr","aal_from_acfr","ual_from_acfr","funded_ratio_old_from_acfr","payroll_from_acfr","adec_pct_reason","arcpct_payroll","mva","funded_ratio_mva","actuarial_return_from_acfr","market_return_from_acfr","gain_loss_tot","outflows_benefits","outflows_refunds","outflows_admin","outflows_other","outflows_total","plan_id"
"1","Alabama - Judicial Retirement Fund (JRF)",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4999999999999998E-2","0.08",NA,"0.05","CAFR - Pg.no.80",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","20 years","Projected unit credit","0.08",NA,"0.08","5-year smoothed market",NA,NA,"1.2188072716192661E-3",NA,"245705163","289044513","43339350","0.85","38693893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","7598000","7598000","0","Projected unit credit","1","NA","NA","NA","NA","245705000","289044000","43339000","0.85","38694000","NA","0.19636119294981133","223169000",0.772093522093522,NA,NA,"13764895","15655000","79000","272000","163000","16169000","3"
"2","Alabama - Judicial Retirement Fund (JRF)",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAFR - Pg.no.90",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5829578550403758E-3",NA,"245424761","289857761","44433000","0.84699999999999998","39763256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","8222000","8222000","0",NA,"1","NA","NA","NA","NA","245425000","289858000","44433000","0.84699999999999998","39763000","NA","0.20677514272061967","193309000",0.666909314215926,NA,NA,NA,"16770000","29000","306000",NA,"17105000","3"
"3","Alabama - Judicial Retirement Fund (JRF)",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4999999999999998E-2","0.08",NA,"0.05","CAFR - Pg.no.94",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","18 years","Projected unit credit","0.08",NA,"0.08","5-year smoothed market",NA,NA,"1.5580318477193219E-3",NA,"247010980","285123024","38112044","0.86599999999999999","39742054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","8637000","8637000","0","Projected unit credit","1","NA","NA","NA","NA","247011000","285123000","38112000","0.86599999999999999","39742000","NA","0.2173267575864325","206671000",0.72484857412415,NA,NA,"-6320956","17964000","83000","322000","103000","18472000","3"
"4","Alabama - Judicial Retirement Fund (JRF)",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2007",NA,"0.2124","0.15240000000000001","0.06",NA,"7.2599999999999998E-2",NA,NA,NA,NA,NA,NA,NA,NA,"0.22500000000000001","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4999999999999998E-2","0.08",NA,"0.05","CAFR - Pg.no.94",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","20 years","Projected unit credit","0.08",NA,"0.08","5-year smoothed market",NA,NA,"1.5515553891742929E-3",NA,"251844238","293055233","41210995","0.85899999999999999","39419414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","8994000","8994000","0","Projected unit credit","1","NA","NA","NA","NA","251844000","293055000","41211000","0.85899999999999999","39419000","NA","0.2281640833100789","221713000",0.756557642763304,NA,NA,"3098951","17903000","103000","344000",NA,"18350000","3"
"5","Alabama - Judicial Retirement Fund (JRF)",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2008","Cavanaugh Macdonald Consulting , LLC","0.2151","0.15509999999999999","0.06",NA,"7.5399999999999995E-2",NA,NA,"10802012","2399107",NA,NA,NA,NA,"0.23050000000000001","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.15",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","20 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"1.6323068222713485E-3","No","256091618","299664260","43572642","0.85499999999999998","40144335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","8943000","8943000","0","Projected unit credit","1","NA","NA","NA","NA","256091000","299664000","43573000","0.85499999999999998","40144000","NA","0.22277301713830211","233412000",0.778912381867692,NA,NA,"2361647","18201000","51000","381000","356000","18989000","3"
"6","Alabama - Judicial Retirement Fund (JRF)",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2009","Cavanaugh Macdonald Consulting , LLC","0.2133","0.15329999999999999","0.06",NA,"7.7200000000000005E-2",NA,NA,"10871013","2496734",NA,NA,NA,NA,"0.23050000000000001","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.15",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","19 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"1.7530902273335985E-3","No","260664380","301591992","40927612","0.86399999999999999","39184897","7600000","-300000",NA,NA,NA,NA,NA,NA,NA,"500000",NA,NA,NA,NA,NA,"-11200000",NA,"100000",NA,NA,NA,NA,NA,"-2600000",NA,NA,NA,"0","0","3500000",NA,"-2800000","Yes","8916000","8916000","0","Projected unit credit","1","NA","NA","NA","NA","260664000","301592000","40928000","0.86399999999999999","39185000","NA","0.22753604695674365","246422000",0.817070744582084,NA,NA,"-2645030","18777000","45000","432000",NA,"19254000","3"
"7","Alabama - Judicial Retirement Fund (JRF)",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2010","Cavanaugh Macdonald Consulting , LLC","0.2167","0.15670000000000001","0.06",NA,"8.5300000000000001E-2",NA,NA,"11402710","2635984",NA,NA,NA,NA,"0.24199999999999999","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.15",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","20 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"1.7495100264641073E-3","No","265188767","315940930","50752163","0.83899999999999997","41318229","4600000","5500000",NA,NA,NA,NA,NA,NA,NA,"-500000",NA,NA,NA,NA,NA,"-3700000",NA,"2500000",NA,"900000",NA,NA,NA,"-9800000",NA,NA,NA,"0","0","3300000",NA,"-2800000","Yes","9307000","9307000","0","Projected unit credit","1","NA","NA","NA","NA","265189000","315941000","50752000","0.83899999999999997","41318000","NA","0.22525291640447262","270933000",0.857543022273146,NA,NA,"9824551","21356000","183000","474000",NA,"22013000","3"
"8","Alabama - Judicial Retirement Fund (JRF)",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2011","Cavanaugh Macdonald Consulting , LLC","0.2183","0.1583","0.06",NA,"0.1085",NA,NA,"12043926","2703825",NA,NA,NA,NA,"0.26679999999999998","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.15",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","20 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"2.3713348000144263E-3","No","259071291","323428100","64356809","0.80100000000000005","41167248","16100000.000000002","-400000",NA,NA,NA,NA,NA,NA,NA,"1800000",NA,NA,NA,NA,NA,"-6300000",NA,"300000",NA,"1200000",NA,NA,NA,"13600000",NA,NA,NA,"0","0","4099999.9999999995",NA,"-3200000","Yes","9880000","9880000","0","Projected unit credit","1","NA","NA","NA","NA","259071000","323428000","64357000","0.80100000000000005","41167000","NA","0.23999805669589719","221816000",0.68582806683404,NA,NA,"13605000","22587000","83000","526000","186000","23382000","3"
"9","Alabama - Judicial Retirement Fund (JRF)",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2012","Cavanaugh Macdonald Consulting , LLC","0.2169","0.15690000000000001","0.06",NA,"0.109",NA,NA,"12487162","2700377",NA,NA,NA,NA,"0.26590000000000003","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.15",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","30 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"2.615927777646139E-3","No","252645569","340978434","88332865","0.74099999999999999","43234239","15100000","5900000",NA,NA,NA,NA,NA,NA,NA,"2700000",NA,NA,NA,NA,NA,"-2700000",NA,"1200000",NA,"100000",NA,NA,NA,"24000000",NA,NA,NA,"0","0","5100000",NA,"-3400000","Yes","10326000","10326000","0","Projected unit credit","1","NA","NA","NA","NA","252646000","340978000","88333000","0.74099999999999999","43234000","NA","0.23883980200767915","211015000",0.618852242666682,NA,NA,"23976000","23821000","145000","552000","68000","24586000","3"
"10","Alabama - Judicial Retirement Fund (JRF)",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2013","Cavanaugh Macdonald Consulting , LLC","0.2031","0.1431","0.06",NA,"0.1391",NA,NA,"12840939","2566075",NA,NA,NA,NA,"0.28220000000000001","0.06","Single Rate",NA,"Tier1(Grp1&2):a)75%salary prescribed by lawb)75% member sal at tme separation frm serviceC)75%position sal immediately prior to retirementD)75% member sal at tme of separation frm service",NA,"NA",NA,NA,NA,NA,"No","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"0.05","Pg.no.16",NA,"Special mortality tables","1979",NA,NA,"Set forward one year for male & female","Level percent open","30 years","Projected unit credit","0.08","No","0.08","5-year smoothed market value",NA,NA,"1.4328201697688505E-3","No","246196836","358459018","112262182","0.68700000000000006","43060614","14300000","-1400000",NA,NA,NA,NA,NA,NA,NA,"3300000",NA,NA,NA,NA,NA,"-8700000",NA,"500000",NA,"12000000",NA,NA,NA,"23900000",NA,NA,NA,"0","0","7100000",NA,"-3200000","Yes","10814000","10814000","0","Projected unit credit","1","NA","NA","NA","NA","246197000","358459000","112262000","0.68700000000000006","43061000","NA","0.25113211490676018","221242000",0.6172030831978,NA,NA,"23929000","24526000","235000","317000",NA,"25078000","3"
