"","plan_id","plan_name","ppd_id"
"1","1","Alabama Employees' Retirement System (ERS)","1"
"2","2","Alabama Teachers' Retirement System (TRS)","2"
"3","10","Birmingham Retirement & Relief System","171"
"4","24","Alaska Teachers Retirement System","4"
"5","25","Alaska Public Employees Retirement System","3"
"6","29","Anchorage Police and Firemen Retirement Plan","184"
"7","30","Arizona Public Safety Personnel Retirement System","5"
"8","31","Arizona State Retirement System","6"
"9","33","Arizona Corrections Officers Retirement Plan","127"
"10","44","Phoenix Employees Retirement System","94"
"11","52","Tucson, AZ Supplemental Retirement System","176"
"12","90","Arkansas Public Employees Retirement System","7"
"13","91","Arkansas Teachers Retirement Plan","8"
"14","191","Little Rock City Firemen’s Relief and Pension Fund","188"
"15","222","CalPERS - California Public Employees Retirement Fund","9"
"16","226","California State Teachers Retirement System","10"
"17","230","University of California Retirement System","111"
"18","232","Alameda County Employee's Retirement Association","137"
"19","233","Contra Costa County Employees' Retirement System","18"
"20","236","Kern County Employees Retirement Association","138"
"21","237","Los Angeles County Employees Retirement System","43"
"22","241","Orange County Employees Retirement System","142"
"23","242","Sacramento County Employees Retirement System","143"
"24","244","San Diego County Employees Retirement System","97"
"25","258","Los Angeles Water and Power","141"
"26","259","Los Angeles City Employees' Retirement System","139"
"27","260","Los Angeles Fire and Police","140"
"28","268","San Diego City Employees Retirement System","144"
"29","269","San Francisco City & County Employees Retirement System","98"
"30","284","Colorado PERA, State Division Fund","15"
"31","285","Colorado PERA, School Division Fund","14"
"32","287","Colorado PERA, Local Division Fund","13"
"33","288","Colorado PERA, Denver Public Schools Fund","23"
"34","308","Denver Employees Retirement System","22"
"35","317","Connecticut Teachers Retirement System","17"
"36","318","Connecticut State Employees Retirement System","16"
"37","319","Connecticut Municipal Employees Retirement Plan","128"
"38","327","Hartford Municipal Employee Retirement Fund","170"
"39","370","Delaware State Employees’ Pension Plan","21"
"40","375","Delaware County & Municipal Other Employees’ Pension Plans","195"
"41","379","New Castle County Pension Program","181"
"42","390","District of Columbia Police Officers and Firefighters Retirement Fund","19"
"43","391","District of Columbia Teachers Retirement Fund","20"
"44","397","Florida Retirement System","26"
"45","420","City of Miami Firefighters and Police Officers Retirement Trust","168"
"46","423","Jacksonville General Employee Pension Plan","159"
"47","424","Jacksonville City Fire and Police Pension Act 1937","212"
"48","463","Georgia Employees’ Retirement System","27"
"49","466","Georgia Teachers Retirement System","28"
"50","488","Atlanta Police Fund","173"
"51","489","Atlanta Fire Fund","205"
"52","490","Atlanta General Employees Pension Fund","161"
"53","500","Employee Retirement System of Hawaii","29"
"54","502","Idaho Public Employee Retirement System","31"
"55","507","Illinois State Employees Retirement System","33"
"56","510","Illinois Teachers Retirement System","34"
