"","plan_id","plan_name_hgarb","fye","vd","pmd","cmd","gasb_retirees","gasb_inactive_vest","gasb_inactive_nonvest","gasb_active","gasb_tot_members","seir_arr","seir_muni_pmd","seir_muni_cmd","seir_deplete","seir_pmd","seir_cmd","tpl","fnp","npl","funded_ratio_gasb68","gasb_payroll","pe_total","gasb_outflow","gasb_inflow","adec_pct_25","adec_paid_pct","adec_amt_from_gasb","adec_paid_amt_from_gasb","adec_missed_from_gasb","adec_pct_30","pe_service_cost","pe_interest_tpl","pe_current_changes","pe_expensed_difference_experience","pe_expensed_current_assumption","pe_employee_contribution","pe_projected_earnings","pe_expensed_difference_earnings","pe_admin_ex","pe_outflow","pe_inflow","pe_other","pe_total_calc","sensitivity_rate_100bp_down","sensitivity_rate_actual","sensitivity_rate_100bp_up","sensitivity_dollar_100bp_down","sensitivity_dollar_actual","sensitivity_dollar_100bp_up","service_life","apx_a_start_balance_51","apx_a_service_cost","apx_a_interest","apx_a_benefit_changes","apx_a_experience_diff","apx_a_assumption_changes","apx_a_employer_contribution","apx_a_employee_contribution","apx_a_invest_income","apx_a_benefit_payment","apx_a_refunds","apx_a_benefits_refunds","apx_a_admin_ex","apx_a_other_changes","apx_a_desc","apx_a_start_balance_66","apx_a_current_balance","cont_rate_fy","actuarial_firm","nc_total","nc_er","nc_ee","amo_total_amt","amo_total","amo_er","amo_ee","tot_total_amt","ee_total_amt","statutory_amt_er","statutory_pct_er","hc_er","hc_ee","er_total","ee_total","multiplier_basis","multiplier_min","multiplier_max","multiplier_text","cola","cola_benefit_type","actual_cola","min_cola","cola_benefit_max_pct","drop_current","drop_new_hire","soc_sec","health_care_funded_by_plan","db_hybrid","option_supp_dc","option_primary_dc","assum_inflation","assum_interest","assum_payroll_growth","assum_salary_growth","assum_termination_rate","assum_retirement_rate","assum_mortality_table","assum_mortality_table_year","assum_mortality_projecton_scale","assum_mortality_table_set_back","assum_mortality_table_set_forward","amo_method","amo_years","cost_method_valuation","assum_discount_rate","assum_variable_dr","assum_return_rate","smoothing","actuarial_return_from_valuation","market_return_from_valuation","admin_expense_pct","opeb_val","ava_from_valuation","aal_from_valuation","ual_from_valuation","funded_ratio_old_from_valuation","payroll_from_valuation","investment_experience","age_of_retirement_experience","disability_claim_experience_active","disability_claim_experience_inactive","disability_claim_experience_retired","disability_claim_experience_total","mortality_rate_experience_active","mortality_rate_experience_inactive","mortality_rate_experience_retired","mortality_rate_experience_total","survivor_claim_experience_active","survivor_claim_experience_inactive","survivor_claim_experience_retired","survivor_claim_experience_total","withdrawal_experience","salary_experience","payroll_experience","new_entrant_experience","rehire_experiennce","other_actuarial_experience","interest_smoothing","non_investment_actuarial_experience","nc_prior_year","actuarial_experience","benefit_changes","cola_gain_loss","pbi_gain_loss","legislative_changes","changes_to_methods_assumptions","interest_on_debt","other_interest","contribution_deficiency","opeb_cafr","arc","arc_paid","arc_missed","cost_method_funding","arc_pct","adec_amt_from_acfr","adec_paid_amt_from_acfr","adec_missed_from_acfr","adec_pct","ava_from_acfr","aal_from_acfr","ual_from_acfr","funded_ratio_old_from_acfr","payroll_from_acfr","adec_pct_reason","arcpct_payroll","mva","funded_ratio_mva","actuarial_return_from_acfr","market_return_from_acfr","gain_loss_tot","outflows_benefits","outflows_refunds","outflows_admin","outflows_other","outflows_total","short_hand_ppd","PlanFullName"
"1",2,"Alabama - Teachers' Retirement System (TRS)",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2004","Buck Consultants - A Mellon Consulting Company","5.7799999999999997E-2","5.7799999999999997E-2",NA,NA,"-6.4000000000000003E-3","-6.4000000000000003E-3",NA,490585007,222649972,NA,NA,NA,NA,"5.5199999999999999E-2","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.20","Pg.no.21",NA,NA,NA,NA,NA,"Level percent open","10 years","Entry Age","0.08","No","0.08","Five-year market related value",NA,NA,0.000380852219916959,"No",17475298000,17238616000,-236682000,"1.014","4305080000",220400000,25100000,NA,NA,NA,NA,NA,NA,-23400000,NA,NA,NA,NA,NA,NA,-52300000,NA,"47600000",NA,NA,NA,NA,NA,"175800000",NA,NA,NA,"0","-13800000",-3.3e+07,NA,NA,"Yes","279880000","279880000","0","Entry Age Normal","1","NA","NA","NA","NA","17475298000","17238616000","-236682000","1.014","4305080000","NA","6.5011567729287262E-2","15814533000",0.917389945921413,NA,NA,175784574,811896000,34156000,"6023000","2209000",854284000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"2",2,"Alabama - Teachers' Retirement System (TRS)",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2005","Buck Consultants - A Mellon Financial Company","5.91E-2","5.91E-2",NA,NA,"1.2500000000000001E-2","1.2500000000000001E-2",NA,483293533,232664824,NA,NA,NA,NA,"7.5399999999999995E-2","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.20","Pg.no.21",NA,NA,NA,NA,NA,"Level percent open","10 years","Entry Age","0.08","No","0.08","Five-year market related value",NA,NA,0.000483132636248344,"No",17904881000,18374174000,469293000,"0.97399999999999998","4379183000",558200000,-18800000,NA,NA,NA,NA,NA,NA,11100000,NA,NA,NA,NA,NA,NA,-256400000,NA,"38500000",NA,NA,NA,NA,NA,"706000000",NA,NA,NA,"387400000","0",-18900000,NA,NA,"Yes","265670000","265670000","0","Entry Age Normal","1","NA","NA","NA","NA","17904881000","18374174000","469293000","0.97399999999999998","4379183000","NA","6.0666567256951812E-2","14167952000",0.771079668669732,NA,NA,705975415,858383000,35510000,"6845000","2482000",903220000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"3",2,"Alabama - Teachers' Retirement System (TRS)",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2006","Mellon","5.9200000000000003E-2","5.9200000000000003E-2",NA,NA,"3.1399999999999997E-2","3.1399999999999997E-2",NA,469993911,244342437,NA,NA,NA,NA,"9.4399999999999998E-2","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.20","Pg.no.21","Men - 1982 George B. Buck; Female - UP94","Men - 1982; Female - 1994",NA,"Males &  Females: 1 year",NA,"Level percent open","10 years","Entry Age","0.08","No","0.08","Five-year market related value",NA,NA,0.00044696989981907,"No",18110470000,19357735000,1247265000,"0.93600000000000005","4632611000",7.33e+08,13600000,NA,NA,NA,NA,NA,NA,7300000,NA,NA,NA,NA,NA,NA,-98900000,NA,"42700000",NA,NA,NA,NA,NA,"778000000",NA,NA,NA,"0","0",37500000,NA,NA,"Yes","235786000","235786000","0","Entry Age Normal","1","NA","NA","NA","NA","18110470000","19357735000","1247265000","0.93600000000000005","4632611000","NA","5.0896999553815332E-2","15685620000",0.810302444991627,NA,NA,777971620,932687000,32084000,"7011000","2785000",974567000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"4",2,"Alabama - Teachers' Retirement System (TRS)",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2007","Cavanaugh Macdonald Consulting , LLC","5.8599999999999999E-2","5.8599999999999999E-2",NA,NA,"3.1199999999999999E-2","3.1199999999999999E-2",NA,670018481,321245683,NA,NA,NA,NA,"9.3600000000000003E-2","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.19","Pg.no.20","Men - 1982 George B. Buck; Female - UP94","Men - 1982; Female - 1994",NA,"Males &  Females: 1 year",NA,"Level percent open","20 years","Entry Age","0.08","No","0.08","Five-year market related value",NA,NA,0.000436772973406928,"No",18704009000,20886190000,2182181000,"0.89600000000000002","4846677000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","312474000","312474000","0","Entry Age Normal","1","NA","NA","NA","NA","18704009000","20886190000","2182181000","0.89600000000000002","4846677000","NA","6.4471802020229535E-2","16853149000",0.806903939876062,NA,NA,934916355,987761000,35983000,"7361000","2014000",1033119000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"5",2,"Alabama - Teachers' Retirement System (TRS)",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2008","Cavanaugh Macdonald Consulting , LLC","5.7599999999999998E-2","5.7599999999999998E-2",NA,NA,"4.9200000000000001E-2","4.9200000000000001E-2",NA,592049853,262856154,NA,NA,NA,NA,"0.1106","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.22","Pg.no.23","Men - 1982 George B. Buck; Female - UP94","Men - 1982; Female - 1994",NA,"Males &  Females: 1 year",NA,"Level percent open","20 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.00057087744556891,"No",19248207000,23027338000,3779131000,"0.83599999999999997","5326408000",397200000,50700000,NA,NA,NA,NA,NA,NA,4400000,NA,NA,NA,NA,NA,NA,255900000,NA,"47100000",NA,NA,NA,NA,NA,"1596900000",NA,NA,NA,"721600000","0",174600000,NA,NA,"Yes","347862000","347862000","0","Entry Age Normal","1","NA","NA","NA","NA","19248207000","23027338000","3779131000","0.83599999999999997","5326408000","NA","6.5308928643844036E-2","18168523000",0.788997972757424,NA,NA,1596949499,1092723000,36350000,"10372000","2297000",1141742000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"6",2,"Alabama - Teachers' Retirement System (TRS)",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2009","Cavanaugh Macdonald Consulting , LLC","6.4500000000000002E-2","6.4500000000000002E-2",NA,NA,"5.2400000000000002E-2","5.2400000000000002E-2",NA,695431027,281455579,NA,NA,NA,NA,"0.1207","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.22","Pg.no.23","1994 GAM","1994",NA,NA,"Female: 1 year","Level percent open","20 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.000589604131196056,"No",19821133000,23945100000,4123967000,"0.82799999999999996","5458443000",383200000,50600000,NA,NA,NA,NA,NA,NA,-25700000,NA,NA,NA,NA,NA,NA,-474200000,NA,"47300000",NA,NA,NA,NA,NA,"344800000",NA,NA,NA,"0","160700000",302300000,NA,NA,"Yes","434195000","434195000","0","Entry Age Normal","1","NA","NA","NA","NA","19821133000","23945100000","4123967000","0.82799999999999996","5458443000","NA","7.9545577374353818E-2","19207803000",0.802160066151321,NA,NA,344835928,1207251000,36683000,"11325000","3470000",1258729000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"7",2,"Alabama - Teachers' Retirement System (TRS)",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2010","Cavanaugh Macdonald Consulting , LLC","6.2799999999999995E-2","6.2799999999999995E-2",NA,NA,"5.8500000000000003E-2","5.8500000000000003E-2",NA,824332772,305085899,NA,NA,NA,NA,"0.12509999999999999","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.22","Pg.no.23","1994 GAM","1994",NA,NA,"Female: 1 year","Level percent open","20 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.000438619903051041,"No",20650916000,25971534000,5320618000,"0.79500000000000004","6310616000",20900000,136700000,NA,NA,NA,NA,NA,NA,44100000,NA,NA,NA,NA,NA,NA,824600000,NA,"35800000",NA,-22200000,NA,NA,NA,"1196700000",NA,NA,NA,"0","0",329900000,NA,NA,"Yes","540847000","540847000","0","Entry Age Normal","1","NA","NA","NA","NA","20650916000","25971534000","5320618000","0.79500000000000004","6310616000","NA","8.5704311591768542E-2","21918750000",0.843952844679871,NA,NA,1196651538,1397808000,37474000,"9614000","2886000",1447782000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"8",2,"Alabama - Teachers' Retirement System (TRS)",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2011","Cavanaugh Macdonald Consulting , LLC","6.3899999999999998E-2","6.3899999999999998E-2",NA,NA,"6.6100000000000006E-2","6.6100000000000006E-2",NA,1033495090,327004024,NA,NA,NA,NA,"0.1338","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.20","Pg.no.21","1994 GAM","1994",NA,NA,"Female: 1 year","Level percent open","20 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.000674902696831841,"No",20812477000,26804117000,5991640000,"0.77600000000000002","6294341000",938400000,142800000,NA,NA,NA,NA,NA,NA,19200000,NA,NA,NA,NA,NA,NA,-612500000,NA,"48900000",NA,22900000,NA,NA,NA,"671000000",NA,NA,NA,"0","0",425600000,NA,NA,"Yes","729995000","729995000","0","Entry Age Normal","1","NA","NA","NA","NA","20812477000","26804117000","5991640000","0.77600000000000002","6294341000","NA","0.11597639848238282","18100387000",0.675283837926838,NA,NA,671022000,1486871000,37317000,"12216000","2261000",1538665000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"9",2,"Alabama - Teachers' Retirement System (TRS)",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2012","Cavanaugh Macdonald Consulting , LLC","6.4199999999999993E-2","6.4199999999999993E-2",NA,NA,"5.9499999999999997E-2","5.9499999999999997E-2",NA,1052528805,323706850,NA,NA,NA,NA,"0.1275","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes",NA,NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.20","Pg.no.21","1994 GAM","1994",NA,NA,"Female: 1 year","Level percent open","30 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.000682650467824925,"No",20582348000,27537400000,6955052000,"0.747","6236922000",1367100000,-3900000,NA,NA,NA,NA,NA,NA,31300000,NA,NA,NA,NA,NA,NA,-547600000,NA,"38800000",NA,-38900000,NA,NA,NA,"963400000",NA,NA,NA,"0","0",479300000,NA,NA,"Yes","753518000","753518000","0","Entry Age Normal","1","NA","NA","NA","NA","20582348000","27537400000","6955052000","0.747","6236922000","NA","0.12081568440330022","16120988000",0.585421572116467,NA,NA,963412000,1512260000,42337000,"11005000","5895000",1571497000,"Alabama Teachers","Teachers' Retirement System of Alabama"
"10",2,"Alabama - Teachers' Retirement System (TRS)",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY-2013","Cavanaugh Macdonald Consulting , LLC","3.9399999999999998E-2","3.9399999999999998E-2",NA,NA,"6.8400000000000002E-2","6.8400000000000002E-2",NA,1074615880,321402984,NA,NA,NA,NA,"0.1116","Regular Members - 5%; Police and Fire Officers - 6%","Single Rate",NA,"2.0125000000000001E-2",NA,"None",NA,NA,NA,NA,"Yes","No",NA,"No","No","No","No","4.4999999999999998E-2","0.08",NA,"5.00% - 7.75%","Pg.no.22","Pg.no.23","1994 GAM","1994",NA,NA,"Female: 1 year","Level percent open","30 years","Entry Age Normal","0.08","No","0.08","Five-year market related value",NA,NA,0.000703088972302732,"No",20132779000,28299523000,8166744000,"0.71099999999999997","6183204000",1544500000,110100000,NA,NA,NA,NA,NA,NA,41500000,NA,NA,NA,NA,NA,NA,-665100000,NA,"33000000",NA,407500000,NA,NA,NA,"1211700000",NA,NA,NA,"-424300000","0",556400000,NA,NA,"Yes","776421000","776421000","0","Entry Age Normal","1","NA","NA","NA","NA","20132779000","28299523000","8166744000","0.71099999999999997","6183204000","NA","0.12556936500882068","17037673000",0.602048062788903,NA,NA,1211692000,1567790000,43628000,"11979000","6054000",1629451000,"Alabama Teachers","Teachers' Retirement System of Alabama"
